CENTRAL POLLUTION CONTROL BOARD,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,
"Date: Saturday, Mar 09 2024",,,,,,,
Time: 11:10:08 PM,,,,,,,
Station,"Bapuji Nagar, Bengaluru - KSPCB",,,,,,
Parameter,"PM10,NO2,CO,Ozone,Temp,RH",,,,,,
AvgPeriod,24 Hours,,,,,,
From,01-02-2019 T00:00:00Z 00:00,,,,,,
To,29-02-2024 T23:06:59Z 00:00,,,,,,
,,,,,,,
"Bapuji Nagar, Bengaluru - KSPCB",,,,,,,
 , ,Bapuji Nagar  Bengaluru - KSPCB , , , , ,
From Date,To Date,PM10,NO2,CO,Ozone,Temp,RH
27-09-2021 00:00,28-09-2021 00:00,33.5,6.56,0.64,16.37,24.99,83.09
28-09-2021 00:00,29-09-2021 00:00,97.48,8.6,0.68,17.7,25.42,83.94
29-09-2021 00:00,30-09-2021 00:00,116.77,8.52,0.66,16.44,24.84,78.77
30-09-2021 00:00,01-10-2021 00:00,65.69,10.69,0.9,17.8,25.41,78.93
01-10-2021 00:00,02-10-2021 00:00,63.73,12.08,1.11,19.64,25.27,81.9
02-10-2021 00:00,03-10-2021 00:00,75.61,10.88,0.98,15.15,25.29,82.6
03-10-2021 00:00,04-10-2021 00:00,43.07,5.74,0.67,15.25,25.81,82.65
04-10-2021 00:00,05-10-2021 00:00,70.22,12.6,0.73,15.76,25.25,71.75
05-10-2021 00:00,06-10-2021 00:00,81.59,10.39,1.27,12.54,25.25,81.29
06-10-2021 00:00,07-10-2021 00:00,36.48,9.53,0.6,13.96,25.85,88.51
07-10-2021 00:00,08-10-2021 00:00,43.25,10.24,0.73,20.52,24.66,79.66
08-10-2021 00:00,09-10-2021 00:00,53.84,10.02,0.72,15.48,25.01,87.43
09-10-2021 00:00,10-10-2021 00:00,37.52,7.65,1.1,11.6,25.74,93.82
10-10-2021 00:00,11-10-2021 00:00,37.44,9.49,0.64,12.38,26,91.56
11-10-2021 00:00,12-10-2021 00:00,45.25,11.21,0.58,13.2,25.39,88.28
12-10-2021 00:00,13-10-2021 00:00,30.02,8.77,0.58,12.64,25.74,87.51
13-10-2021 00:00,14-10-2021 00:00,43.53,8.4,0.78,12.89,25.48,85.03
14-10-2021 00:00,15-10-2021 00:00,55.5,9.82,0.84,12.35,25.22,77.8
15-10-2021 00:00,16-10-2021 00:00,52.84,14.83,0.63,22.31,24.93,85.54
16-10-2021 00:00,17-10-2021 00:00,82.11,20,0.91,25.45,25.88,89.28
17-10-2021 00:00,18-10-2021 00:00,57.38,14.1,0.66,17.96,25.26,88.81
18-10-2021 00:00,19-10-2021 00:00,64.31,14.56,0.62,19.88,25.59,89.52
19-10-2021 00:00,20-10-2021 00:00,111.24,17.77,1.22,16.9,24.89,78.81
20-10-2021 00:00,21-10-2021 00:00,150.95,22.44,1.59,6.8,25.13,74.01
21-10-2021 00:00,22-10-2021 00:00,103.47,19.73,1.02,8.19,24.35,73.7
22-10-2021 00:00,23-10-2021 00:00,87.21,13.48,0.85,10.02,24.89,73.17
23-10-2021 00:00,24-10-2021 00:00,73.38,13.04,0.9,27.48,24.77,77.59
24-10-2021 00:00,25-10-2021 00:00,43.2,12.49,0.72,35.91,25.12,73.48
25-10-2021 00:00,26-10-2021 00:00,106.1,22.96,1.22,32.73,26.04,63.45
26-10-2021 00:00,27-10-2021 00:00,124.61,24.79,1.19,32.32,27.64,63.5
27-10-2021 00:00,28-10-2021 00:00,149.36,25.77,1.3,20.03,25.85,62.79
28-10-2021 00:00,29-10-2021 00:00,155.6,27.73,1.28,9.49,26.09,64.8
29-10-2021 00:00,30-10-2021 00:00,109.33,15.61,1.22,9.45,30.93,76.34
30-10-2021 00:00,31-10-2021 00:00,69.69,8.99,1.02,14.05,31.54,76.81
31-10-2021 00:00,01-11-2021 00:00,70.74,8.54,0.93,14.32,32.09,75.66
01-11-2021 00:00,02-11-2021 00:00,59.48,7.07,0.92,13.62,32.19,80.04
02-11-2021 00:00,03-11-2021 00:00,60.05,5.65,1.05,15.98,27.76,83.92
03-11-2021 00:00,04-11-2021 00:00,63.03,4.9,0.94,18.58,22.27,58.6
04-11-2021 00:00,05-11-2021 00:00,65.91,7.47,0.99,19.64,20.22,64.73
05-11-2021 00:00,06-11-2021 00:00,80.67,9.7,0.98,19.92,20.54,73.36
06-11-2021 00:00,07-11-2021 00:00,77.79,12.89,1.15,18.1,20.42,60.89
07-11-2021 00:00,08-11-2021 00:00,85.6,14.42,1.09,14.38,20.35,64.94
08-11-2021 00:00,09-11-2021 00:00,117.3,19.6,1.67,12.32,20.42,70.7
09-11-2021 00:00,10-11-2021 00:00,136.98,25.24,1.36,8.82,20.31,45.73
10-11-2021 00:00,11-11-2021 00:00,131.79,22.51,1.36,8.57,20.68,55.37
11-11-2021 00:00,12-11-2021 00:00,79.98,15.33,1,9.84,21.74,76.02
12-11-2021 00:00,13-11-2021 00:00,46.85,14.22,1.52,13.47,21.24,77.76
13-11-2021 00:00,14-11-2021 00:00,73.01,15.53,1.56,15.86,20.53,73.8
14-11-2021 00:00,15-11-2021 00:00,49.55,9.24,1.05,15.8,20.72,77.92
15-11-2021 00:00,16-11-2021 00:00,51.07,12.36,1.11,15.45,20.19,75.54
16-11-2021 00:00,17-11-2021 00:00,64.78,13.88,1.09,16.02,20.42,77.71
17-11-2021 00:00,18-11-2021 00:00,73.36,15.69,1.18,15.8,20.11,73.6
18-11-2021 00:00,19-11-2021 00:00,42.81,10.67,1.19,16.39,20.99,83.81
19-11-2021 00:00,20-11-2021 00:00,52.54,10.78,1.19,16.39,20.78,83.71
20-11-2021 00:00,21-11-2021 00:00,48.74,10.78,0.92,16.29,20.86,81.46
21-11-2021 00:00,22-11-2021 00:00,100.97,16.14,0.94,15.67,20.66,70.25
22-11-2021 00:00,23-11-2021 00:00,154.35,19.68,1.66,16.78,27.48,63.45
23-11-2021 00:00,24-11-2021 00:00,98.76,13.78,1.07,16.48,27.29,55.97
24-11-2021 00:00,25-11-2021 00:00,101.39,14.98,1.25,16.5,27.66,67
25-11-2021 00:00,26-11-2021 00:00,99.87,14.64,1.11,16.49,27.97,64.23
26-11-2021 00:00,27-11-2021 00:00,111.63,17.49,1.18,16.28,27.92,64.11
27-11-2021 00:00,28-11-2021 00:00,114.22,16.74,1.16,16.28,28.29,70.09
28-11-2021 00:00,29-11-2021 00:00,78.51,13.53,1.03,16.43,29.14,74.38
29-11-2021 00:00,30-11-2021 00:00,66.03,11.88,1.03,16.41,28.28,73.75
30-11-2021 00:00,01-12-2021 00:00,72.23,12.69,1.02,16.34,28.37,69.25
01-12-2021 00:00,02-12-2021 00:00,86.55,14.91,1.09,16.24,28.37,71.42
02-12-2021 00:00,03-12-2021 00:00,113.74,17.64,1.17,16.25,28.69,69.84
03-12-2021 00:00,04-12-2021 00:00,113.61,15.95,1.4,16.39,27.93,69.82
04-12-2021 00:00,05-12-2021 00:00,120.8,19.56,1.48,16.43,27.69,64.71
05-12-2021 00:00,06-12-2021 00:00,52.72,9.44,0.5,16.3,29.52,76.44
06-12-2021 00:00,07-12-2021 00:00,75.64,24.07,0.74,23.56,26.04,63.45
07-12-2021 00:00,08-12-2021 00:00,75.64,24.07,0.74,23.56,26.04,63.45
08-12-2021 00:00,09-12-2021 00:00,75.64,24.07,0.74,23.56,26.04,63.45
09-12-2021 00:00,10-12-2021 00:00,75.64,24.07,0.74,23.56,26.04,63.45
10-12-2021 00:00,11-12-2021 00:00,75.64,24.07,0.74,23.56,26.04,63.45
11-12-2021 00:00,12-12-2021 00:00,75.64,24.07,0.74,23.56,26.04,63.45
12-12-2021 00:00,13-12-2021 00:00,75.64,24.07,0.74,23.56,26.04,63.45
13-12-2021 00:00,14-12-2021 00:00,75.64,24.07,0.74,23.56,26.04,63.45
14-12-2021 00:00,15-12-2021 00:00,75.64,24.07,0.74,23.56,26.04,63.45
15-12-2021 00:00,16-12-2021 00:00,75.64,24.07,0.74,23.56,26.04,63.45
16-12-2021 00:00,17-12-2021 00:00,75.64,24.07,0.74,23.56,26.04,63.45
17-12-2021 00:00,18-12-2021 00:00,75.64,24.07,0.74,23.56,26.04,63.45
18-12-2021 00:00,19-12-2021 00:00,75.64,24.07,0.74,23.56,26.04,63.45
19-12-2021 00:00,20-12-2021 00:00,75.64,24.07,0.74,23.56,26.04,63.45
20-12-2021 00:00,21-12-2021 00:00,75.64,24.07,0.74,23.56,26.04,63.45
21-12-2021 00:00,22-12-2021 00:00,189.15,6.55,1.99,8.98,23.28,47.25
22-12-2021 00:00,23-12-2021 00:00,124.69,24.07,1.19,7.77,24.24,58.47
23-12-2021 00:00,24-12-2021 00:00,171.19,32.75,1.23,7.91,24.39,58.62
24-12-2021 00:00,25-12-2021 00:00,150.33,19.23,1.4,7.5,24.54,52.54
25-12-2021 00:00,26-12-2021 00:00,123.31,19.77,1.3,7.16,23.96,51.16
26-12-2021 00:00,27-12-2021 00:00,101.44,18.44,0.95,7.7,24.04,55.4
27-12-2021 00:00,28-12-2021 00:00,85.42,13.88,0.87,8.2,24.29,61.34
28-12-2021 00:00,29-12-2021 00:00,78.4,6.25,0.84,6.77,25.06,64.95
29-12-2021 00:00,30-12-2021 00:00,74.86,11.13,0.87,5.62,24.56,64.93
30-12-2021 00:00,31-12-2021 00:00,79.96,5.27,0.99,5.74,25.48,66.23
31-12-2021 00:00,01-01-2022 00:00,74.09,5.39,1.17,6.09,24.48,73.44
01-01-2022 00:00,02-01-2022 00:00,66.52,1.61,1.17,5.68,24.13,70.79
02-01-2022 00:00,03-01-2022 00:00,48.39,24.07,0.64,5.53,25.53,65.79
03-01-2022 00:00,04-01-2022 00:00,78.74,0.36,0.97,6.18,24.88,64.29
04-01-2022 00:00,05-01-2022 00:00,92.45,24.07,1,5.96,25.62,61.86
05-01-2022 00:00,06-01-2022 00:00,94.04,19.04,0.94,6.27,25.67,60.33
06-01-2022 00:00,07-01-2022 00:00,75.59,17.14,0.81,7.18,24.46,63.78
07-01-2022 00:00,08-01-2022 00:00,63.21,13.09,0.73,7.09,24.96,62.71
08-01-2022 00:00,09-01-2022 00:00,54.74,8.95,0.49,6.91,26.64,65.97
09-01-2022 00:00,10-01-2022 00:00,52.38,8.04,0.47,7.71,24.38,64
10-01-2022 00:00,11-01-2022 00:00,56.21,11.91,0.64,7.02,24.85,62.84
11-01-2022 00:00,12-01-2022 00:00,48.58,11.59,0.61,6.23,24.96,61.39
12-01-2022 00:00,13-01-2022 00:00,61.32,10.03,0.67,6.22,25.98,62.34
13-01-2022 00:00,14-01-2022 00:00,62.5,11.77,0.7,7.58,24.03,58.77
14-01-2022 00:00,15-01-2022 00:00,99.84,11.96,1.04,6.97,25.9,53.91
15-01-2022 00:00,16-01-2022 00:00,72.6,10.93,0.7,8.43,24.19,51.58
16-01-2022 00:00,17-01-2022 00:00,43.39,7.72,0.42,6.7,24.69,63.61
17-01-2022 00:00,18-01-2022 00:00,47.73,12.83,0.69,6.5,25.05,63.89
18-01-2022 00:00,19-01-2022 00:00,70.38,15.42,0.99,7.52,24.23,60.64
19-01-2022 00:00,20-01-2022 00:00,89.72,17.21,1.07,7.6,23.78,55.41
20-01-2022 00:00,21-01-2022 00:00,121.69,14.34,1.38,6.93,25.18,48.66
21-01-2022 00:00,22-01-2022 00:00,145.42,13.69,1.09,6.17,25.41,49.05
22-01-2022 00:00,23-01-2022 00:00,154.25,15.65,1.05,7.21,23.7,52.55
23-01-2022 00:00,24-01-2022 00:00,96.97,9.82,0.94,5.94,26.14,45.69
24-01-2022 00:00,25-01-2022 00:00,84.04,12.45,0.92,7.49,23.66,47.41
25-01-2022 00:00,26-01-2022 00:00,126.79,12.31,0.84,7.02,26.55,48.43
26-01-2022 00:00,27-01-2022 00:00,82.76,11.44,0.56,8.47,22.91,57.86
27-01-2022 00:00,28-01-2022 00:00,77.76,13.15,0.65,6.41,23.62,64.5
28-01-2022 00:00,29-01-2022 00:00,112.62,16.77,0.77,5.77,24.7,64.22
29-01-2022 00:00,30-01-2022 00:00,119.25,18.54,0.89,7.09,24.01,62.51
30-01-2022 00:00,31-01-2022 00:00,102.36,13.62,0.79,7.53,24.7,61.09
31-01-2022 00:00,01-02-2022 00:00,110.04,19.93,1.06,7.6,24.28,59.84
01-02-2022 00:00,02-02-2022 00:00,129.43,19.79,1.03,5.46,25,59.28
02-02-2022 00:00,03-02-2022 00:00,121.99,17.42,0.96,5.95,25.26,55.57
03-02-2022 00:00,04-02-2022 00:00,114.16,15.15,0.88,6.62,24.01,59.52
04-02-2022 00:00,05-02-2022 00:00,137.07,15.18,1.11,6.28,24.22,48.74
05-02-2022 00:00,06-02-2022 00:00,114.49,17.03,0.95,6.51,24.37,50.69
06-02-2022 00:00,07-02-2022 00:00,88.29,14.68,0.69,5.53,26.07,59.22
07-02-2022 00:00,08-02-2022 00:00,92.93,18.58,0.9,6.68,24.35,59.15
08-02-2022 00:00,09-02-2022 00:00,105.24,18.28,0.88,6.76,24.76,57.54
09-02-2022 00:00,10-02-2022 00:00,104.29,18.74,0.81,6.47,24.81,57.18
10-02-2022 00:00,11-02-2022 00:00,107.7,18.53,1.07,6.48,24.33,50.89
11-02-2022 00:00,12-02-2022 00:00,114.11,12.98,1.02,5.9,25.17,39.95
12-02-2022 00:00,13-02-2022 00:00,80.58,15.24,0.79,6.36,24.43,50.91
13-02-2022 00:00,14-02-2022 00:00,85.14,16.37,0.74,5.99,26.6,56.41
14-02-2022 00:00,15-02-2022 00:00,101.28,18.06,1.06,6.9,24.26,51.78
15-02-2022 00:00,16-02-2022 00:00,108.34,17.03,0.9,5.55,27.24,56.55
16-02-2022 00:00,17-02-2022 00:00,113.16,19.42,0.92,7.22,25.24,54.14
17-02-2022 00:00,18-02-2022 00:00,118.03,21.07,0.92,7.85,24.24,49.44
18-02-2022 00:00,19-02-2022 00:00,95.46,18.37,0.84,7.19,24.51,53.67
19-02-2022 00:00,20-02-2022 00:00,94.03,18.04,0.95,5.93,24.57,54.48
20-02-2022 00:00,21-02-2022 00:00,117.45,16.36,1.19,6.74,24.7,45.43
21-02-2022 00:00,22-02-2022 00:00,124.15,22.64,1.34,6.15,25.17,46.25
22-02-2022 00:00,23-02-2022 00:00,110.83,16.26,0.82,5.34,25.62,51.27
23-02-2022 00:00,24-02-2022 00:00,84.25,17.46,0.76,5.14,24.98,52.14
24-02-2022 00:00,25-02-2022 00:00,58.71,13.18,0.75,4.53,24.94,49.56
25-02-2022 00:00,26-02-2022 00:00,97.85,19.94,0.89,5.78,24.63,41.75
26-02-2022 00:00,27-02-2022 00:00,93.47,16.56,0.8,5.25,25.63,47.4
27-02-2022 00:00,28-02-2022 00:00,74.88,14.13,0.74,5.62,25.14,50.46
28-02-2022 00:00,01-03-2022 00:00,70.77,13.86,0.8,6.38,24.8,41.2
01-03-2022 00:00,02-03-2022 00:00,77.7,13.36,0.8,5.72,26.2,43.49
02-03-2022 00:00,03-03-2022 00:00,81.46,14.03,0.81,6.65,25.08,29.43
03-03-2022 00:00,04-03-2022 00:00,106.4,17.66,0.97,6.83,25.53,34.16
04-03-2022 00:00,05-03-2022 00:00,107.82,18.17,1.02,6.7,25.73,33.89
05-03-2022 00:00,06-03-2022 00:00,91.18,17.47,1.09,5.15,25.76,45.64
06-03-2022 00:00,07-03-2022 00:00,75.55,13.39,0.78,5.24,26.64,49.47
07-03-2022 00:00,08-03-2022 00:00,76.73,16.75,0.83,5.72,25.48,57.85
08-03-2022 00:00,09-03-2022 00:00,92.14,14.98,0.92,4.62,26.69,52.16
09-03-2022 00:00,10-03-2022 00:00,109.34,16.32,0.92,7.7,25.14,43.64
10-03-2022 00:00,11-03-2022 00:00,110.88,17.94,0.77,9.8,25.38,40.06
11-03-2022 00:00,12-03-2022 00:00,113.06,15.08,0.9,6.44,30.44,31.39
12-03-2022 00:00,13-03-2022 00:00,109.12,21.45,0.65,10.24,39.9,22.8
13-03-2022 00:00,14-03-2022 00:00,109,1.4,0.67,12.62,34.5,26.6
14-03-2022 00:00,15-03-2022 00:00,157.45,30.31,1.44,12.54,28.28,34.48
15-03-2022 00:00,16-03-2022 00:00,148.9,35.77,1.23,13,20.66,37.94
16-03-2022 00:00,17-03-2022 00:00,155.42,27.16,1.31,8.27,22.98,40.23
17-03-2022 00:00,18-03-2022 00:00,169.14,31.79,1.43,7.09,21.1,38.35
18-03-2022 00:00,19-03-2022 00:00,121.7,24.59,1.04,7.61,20.87,40.69
19-03-2022 00:00,20-03-2022 00:00,110.74,17.23,0.84,5.47,22.27,57.57
20-03-2022 00:00,21-03-2022 00:00,89.96,15.13,0.97,4.91,25.84,59.75
21-03-2022 00:00,22-03-2022 00:00,94.72,17.97,0.78,2.19,36.54,61.97
22-03-2022 00:00,23-03-2022 00:00,91.04,15.92,1.11,2.64,33.59,63.68
23-03-2022 00:00,24-03-2022 00:00,130.54,20.25,1.12,3.41,32.39,56.62
24-03-2022 00:00,25-03-2022 00:00,118.8,15.42,0.83,2.42,33.48,55.36
25-03-2022 00:00,26-03-2022 00:00,94.16,15.89,0.82,2.33,34.94,57.03
26-03-2022 00:00,27-03-2022 00:00,95.87,15.94,1.08,2.48,35.05,62.67
27-03-2022 00:00,28-03-2022 00:00,None,24.07,0.74,23.56,26.04,63.45
28-03-2022 00:00,29-03-2022 00:00,None,24.07,0.74,23.56,26.04,63.45
29-03-2022 00:00,30-03-2022 00:00,None,24.07,0.74,23.56,26.04,44.61
30-03-2022 00:00,31-03-2022 00:00,128.7,29.39,0.9,10.66,29.06,60.01
31-03-2022 00:00,01-04-2022 00:00,123.41,19.59,0.96,6.13,20.37,54.93
01-04-2022 00:00,02-04-2022 00:00,97.15,14.73,0.78,5.52,21.27,63.8
02-04-2022 00:00,03-04-2022 00:00,81.37,11.93,0.73,5.31,19.81,56.66
03-04-2022 00:00,04-04-2022 00:00,87,10.74,0.69,5.17,19.73,54.02
04-04-2022 00:00,05-04-2022 00:00,89.59,13.13,0.73,5.11,20.38,48.09
05-04-2022 00:00,06-04-2022 00:00,82.49,11.23,0.67,5.14,20.19,49.86
06-04-2022 00:00,07-04-2022 00:00,98.16,14.83,0.74,5.27,19.61,44.77
07-04-2022 00:00,08-04-2022 00:00,107.59,16.3,0.9,5.26,21.82,47.55
08-04-2022 00:00,09-04-2022 00:00,79.96,12.05,0.78,5.49,22.98,50.3
09-04-2022 00:00,10-04-2022 00:00,70.71,12.14,0.83,5.23,22.87,51.47
10-04-2022 00:00,11-04-2022 00:00,64.82,12.07,0.84,4.57,23.78,53.16
11-04-2022 00:00,12-04-2022 00:00,75.25,14.76,0.85,4.04,24.87,50.54
12-04-2022 00:00,13-04-2022 00:00,62.14,12.05,0.78,3.55,21.68,52.26
13-04-2022 00:00,14-04-2022 00:00,55.24,11.79,0.84,4.64,17.88,67.82
14-04-2022 00:00,15-04-2022 00:00,47.68,14.72,0.63,5.08,17.54,68.59
15-04-2022 00:00,16-04-2022 00:00,None,24.07,0.74,0.1,26.04,63.45
16-04-2022 00:00,17-04-2022 00:00,51.29,28.33,0.88,9.01,20.79,72.54
17-04-2022 00:00,18-04-2022 00:00,74.68,17.31,0.73,7.21,20.38,65.96
18-04-2022 00:00,19-04-2022 00:00,69.18,20.22,1.18,6.82,20.74,67.52
19-04-2022 00:00,20-04-2022 00:00,97.66,26.79,0.93,6.49,20.2,59.43
20-04-2022 00:00,21-04-2022 00:00,110.22,26.94,1.17,6.2,19.52,50.59
21-04-2022 00:00,22-04-2022 00:00,99.92,17.25,0.66,6.11,19.27,50.16
22-04-2022 00:00,23-04-2022 00:00,96.65,13.01,0.63,5.96,21.72,61.92
23-04-2022 00:00,24-04-2022 00:00,70.56,17.15,0.74,6.11,18.89,46.02
24-04-2022 00:00,25-04-2022 00:00,64.87,14.03,0.74,6.14,19.37,51.05
25-04-2022 00:00,26-04-2022 00:00,83.64,15.63,0.74,6.62,19.33,50.84
26-04-2022 00:00,27-04-2022 00:00,None,13.2,0.38,10.75,18.57,52.67
27-04-2022 00:00,28-04-2022 00:00,106.57,17.77,1.28,8.76,19.43,35.03
28-04-2022 00:00,29-04-2022 00:00,90.27,14.78,0.82,6.87,19.46,49.95
29-04-2022 00:00,30-04-2022 00:00,118.34,22.23,0.94,6.34,19.33,46.55
30-04-2022 00:00,01-05-2022 00:00,88.54,19.19,1.01,6.23,21.19,55.65
01-05-2022 00:00,02-05-2022 00:00,93.29,13.95,0.97,7.22,21.32,76.45
02-05-2022 00:00,03-05-2022 00:00,75.36,22.56,0.92,6.56,20.33,61.91
03-05-2022 00:00,04-05-2022 00:00,66.16,20.97,1.05,5.92,16.16,60.34
04-05-2022 00:00,05-05-2022 00:00,65.41,25.32,0.98,6.01,16.22,57.68
05-05-2022 00:00,06-05-2022 00:00,63.6,28.66,1.04,7.79,15.23,67.08
06-05-2022 00:00,07-05-2022 00:00,67.4,23.41,0.98,6.4,17,64.67
07-05-2022 00:00,08-05-2022 00:00,83.74,26.57,1,6.33,15.64,62.54
08-05-2022 00:00,09-05-2022 00:00,75.64,17.25,0.97,6.32,17.02,67.51
09-05-2022 00:00,10-05-2022 00:00,97.11,17.48,0.87,6.28,16.02,71.49
10-05-2022 00:00,11-05-2022 00:00,83.36,18.98,1.16,6.19,16.06,82.9
11-05-2022 00:00,12-05-2022 00:00,67.86,17.79,0.89,6.02,15.4,78.16
12-05-2022 00:00,13-05-2022 00:00,45.81,16.63,0.9,5.89,16.7,85.73
13-05-2022 00:00,14-05-2022 00:00,50.22,14.13,1.19,5.7,18.24,80.39
14-05-2022 00:00,15-05-2022 00:00,115.9,14.03,1.15,5.36,20.93,74.61
15-05-2022 00:00,16-05-2022 00:00,79.4,14.92,1.05,5.72,18.2,72.39
16-05-2022 00:00,17-05-2022 00:00,67.55,15.63,0.79,6.09,15.67,76.58
17-05-2022 00:00,18-05-2022 00:00,64.45,22.76,0.91,5.85,16.31,79.25
18-05-2022 00:00,19-05-2022 00:00,45.49,22.67,0.98,5.59,15.95,78.45
19-05-2022 00:00,20-05-2022 00:00,32.15,13.91,1.01,5.97,16.86,85.33
20-05-2022 00:00,21-05-2022 00:00,80.32,14.99,0.84,6.07,16.49,78.05
21-05-2022 00:00,22-05-2022 00:00,86.25,20.71,1.01,6.13,16.21,71.55
22-05-2022 00:00,23-05-2022 00:00,51.41,12.69,0.95,5.7,17.17,73.07
23-05-2022 00:00,24-05-2022 00:00,136.14,14.3,1.01,5.93,16.21,67.95
24-05-2022 00:00,25-05-2022 00:00,116.79,13.71,1,6.16,15.65,64.66
25-05-2022 00:00,26-05-2022 00:00,109.04,15.8,0.93,5.99,15.36,65.18
26-05-2022 00:00,27-05-2022 00:00,92.02,14.14,0.96,5.76,15.97,66.86
27-05-2022 00:00,28-05-2022 00:00,90.41,15.01,0.94,5.75,15.82,60.72
28-05-2022 00:00,29-05-2022 00:00,75.52,13.74,0.92,5.31,15.88,63.25
29-05-2022 00:00,30-05-2022 00:00,54.91,11.72,0.96,4.97,16.29,63.39
30-05-2022 00:00,31-05-2022 00:00,71.55,14.1,0.9,4.74,16.45,65.93
31-05-2022 00:00,01-06-2022 00:00,49.76,15.43,0.94,5,16.48,71.49
01-06-2022 00:00,02-06-2022 00:00,73.57,17.72,1,5.58,16.02,67.47
02-06-2022 00:00,03-06-2022 00:00,66.31,14.84,0.87,5.22,15.89,66.14
03-06-2022 00:00,04-06-2022 00:00,61.75,14.99,0.87,4.88,16.16,69.69
04-06-2022 00:00,05-06-2022 00:00,70.48,24.35,1.01,5.04,16.71,63.72
05-06-2022 00:00,06-06-2022 00:00,46.16,13.36,0.94,5.92,17.47,67.07
06-06-2022 00:00,07-06-2022 00:00,54.78,24.85,0.53,7.82,17.65,63.24
07-06-2022 00:00,08-06-2022 00:00,45.26,13.51,0.58,5.91,23.64,68.32
08-06-2022 00:00,09-06-2022 00:00,37.05,9.57,0.57,6,24.52,79.61
09-06-2022 00:00,10-06-2022 00:00,60.24,7.06,0.58,5.97,26.04,63.45
10-06-2022 00:00,11-06-2022 00:00,55.81,24.07,0.74,23.56,26.04,63.45
11-06-2022 00:00,12-06-2022 00:00,42.11,12.34,0.65,10.11,18.56,60.47
12-06-2022 00:00,13-06-2022 00:00,33.59,8.1,0.54,6.26,24.14,67.11
13-06-2022 00:00,14-06-2022 00:00,43.93,9.34,0.52,6.38,30.13,66.72
14-06-2022 00:00,15-06-2022 00:00,41.75,10.91,0.5,6.16,30.57,67.86
15-06-2022 00:00,16-06-2022 00:00,40.22,12.25,0.5,6.45,24.33,73.66
16-06-2022 00:00,17-06-2022 00:00,42.84,10.19,0.54,6.16,24.03,71.81
17-06-2022 00:00,18-06-2022 00:00,41.21,13.61,0.49,6.15,26.4,72.37
18-06-2022 00:00,19-06-2022 00:00,38.15,14.69,0.62,5.92,25.14,76.03
19-06-2022 00:00,20-06-2022 00:00,24.73,10.79,0.51,5.91,25.44,73.9
20-06-2022 00:00,21-06-2022 00:00,36.86,11.13,0.54,7.05,23.92,76.15
21-06-2022 00:00,22-06-2022 00:00,37.98,11.88,0.57,6.54,22.79,76.57
22-06-2022 00:00,23-06-2022 00:00,49.68,11.35,0.55,6.45,23.98,78.93
23-06-2022 00:00,24-06-2022 00:00,78.31,11.79,0.56,6.89,20.78,77.2
24-06-2022 00:00,25-06-2022 00:00,52.74,9.41,0.47,6.27,21,70.95
25-06-2022 00:00,26-06-2022 00:00,57.35,9.48,0.54,6.2,20.63,75.04
26-06-2022 00:00,27-06-2022 00:00,59.7,9.08,0.5,6.39,23.85,71.62
27-06-2022 00:00,28-06-2022 00:00,53.34,9.69,0.44,6.33,24.83,74.39
28-06-2022 00:00,29-06-2022 00:00,61.27,10.12,0.45,6.25,27.49,72.75
29-06-2022 00:00,30-06-2022 00:00,43.76,9.17,0.53,5.7,26.64,75.53
30-06-2022 00:00,01-07-2022 00:00,37.94,10.58,0.49,5.26,26.06,83.83
01-07-2022 00:00,02-07-2022 00:00,64.4,10.05,0.6,5.28,23.5,80.46
02-07-2022 00:00,03-07-2022 00:00,88.03,10.64,0.77,5.28,23.35,79.56
03-07-2022 00:00,04-07-2022 00:00,56.02,8.12,0.39,5.53,23.64,82.07
04-07-2022 00:00,05-07-2022 00:00,34.75,8.41,0.39,5,23.63,82.03
05-07-2022 00:00,06-07-2022 00:00,52.6,9.03,0.49,5.41,23.73,83.05
06-07-2022 00:00,07-07-2022 00:00,65.32,8.75,0.56,5.45,24.15,85.97
07-07-2022 00:00,08-07-2022 00:00,36.78,8.36,0.48,5.36,24.85,87.72
08-07-2022 00:00,09-07-2022 00:00,53.58,10.21,0.63,5.24,24.51,82.55
09-07-2022 00:00,10-07-2022 00:00,39.51,24.38,0.5,7.59,24.94,88.36
10-07-2022 00:00,11-07-2022 00:00,30.81,26.72,0.36,7.58,25.46,83.06
11-07-2022 00:00,12-07-2022 00:00,31.28,28.29,0.48,7.59,25.62,88.47
12-07-2022 00:00,13-07-2022 00:00,58.98,28.1,0.43,7.45,25.61,79.7
13-07-2022 00:00,14-07-2022 00:00,45.07,27.31,0.44,6.98,25.73,84.55
14-07-2022 00:00,15-07-2022 00:00,233.08,27.05,0.51,7.24,25.98,86.25
15-07-2022 00:00,16-07-2022 00:00,94.68,19.78,0.6,8.51,27.41,82.88
16-07-2022 00:00,17-07-2022 00:00,53.66,7.28,0.7,9.76,27.3,85.01
17-07-2022 00:00,18-07-2022 00:00,34.72,7.34,0.48,11.36,25.81,82.51
18-07-2022 00:00,19-07-2022 00:00,37.86,7.03,0.54,10.43,26.05,85.72
19-07-2022 00:00,20-07-2022 00:00,51.32,7.72,0.55,13.62,26.13,75.97
20-07-2022 00:00,21-07-2022 00:00,96.44,8.96,0.83,15.62,26.73,72.16
